id,name,longitude,latitude,demand
1796,Gaynor's Pub,-9.693894,53.5956684,93
951,John Patricks,-8.5677684,53.1985955,9
1593,The Halfway Bar,-9.5788336,52.254781,77
1729,Flowerhill Lodge,-6.6809384,53.6556859,58
2043,Muiris Dan's,-10.2663331,52.1404957,81
1322,French,-6.294068,52.6759181,54
507,Hardys Bar,-6.1341504,53.2919874,34
1624,Regan's Bar,-8.191064,53.631215,14
1259,Mulligans Bar,-8.9991901,53.7184676,57
392,Jacko's Bar,-8.532433,52.9092347,66
2544,JJ Bowles,-8.6285958,52.6703867,54
2849,The Big Romance,-6.2592195,53.3534835,19
2840,The Old Ship,-6.1537891,52.7982958,56
584,Donnelly's Bar and Restuarant,-9.1518217,53.2511966,32
210,Shamrock Bar,-8.3540169,51.8322479,81
1157,James Lawless,-6.5396527,53.5116854,51
1891,O' Regan's,-9.5453034,51.5265348,22
1295,Malin Hotel,-7.2610542,55.2953612,97
742,Four Sons Public House,-7.0454656,53.343847,91
2666,Kings,-6.1446163,52.966552,53
1019,The Fountain,-6.27815,53.3406636,25
22,The Three Shippes,-7.1033032,52.2578941,51
2383,Meyler's Bar & Restaurant,-6.4245406,52.2092295,65
2421,Drunken Fish,-6.244184,53.3491745,30
183,Finnegans,-8.5179927,52.67231,94
1219,Coyles bar,-7.5221932,54.996377,30
675,Fitzgerald's,-10.0211265,52.2562585,23
959,The Dew Drop Inn,-6.5927493,53.2476554,16
1406,Coneely's,-10.0223556,53.4879594,20
2467,The Sportsman Inn,-7.2614586,55.2513803,89
2446,Churchtown Stores,-6.2603223,53.2957712,5
2255,The Vintage Inn,-7.1504509,53.0167791,73
1223,Harisons,-6.3646308,53.9645959,52
223,Croughs Pub,-6.3186912,53.3395619,92
56,The Track,-8.6133992,52.6602983,83
1679,Reillys,-9.3203819,54.1002961,78
2764,The Olympic Tavern,-8.9503482,51.7356256,17
407,Crystal Bar,-6.2206564,53.2766653,65
581,An Pucan,-9.0474313,53.2745292,70
417,Cat's Craddle,-8.5585121,52.6088471,99
1251,E. Brun Bar,-9.0570243,53.2711586,34
1615,O'Rafferty,-6.2386268,52.7634194,78
510,The Eagle House,-6.1231903,53.2869998,27
18,Goose Tavern,-6.2399986,53.3757192,31
314,E. McGraths,-6.2933179,53.3670411,78
1236,Bernard Harringtons,-9.551913,51.7501594,65
1407,Griffin's bar,-10.0214754,53.488751,95
65,Ha'penny Bridge Inn,-6.2633708,53.345849,40
1994,Senior Common Room,-6.2575823,53.3448626,79
2788,Farrier & Draper - Bar & Restaurant,-6.2621681,53.3424295,51
1306,"The ""64""",-6.2960855,52.6751167,51
695,J. O'Connell,-6.2642006,53.3306454,73
930,Larrigy's,-7.4968596,53.3676693,59
1529,Óstán an Cheathrú Rua,-9.6027685,53.2650979,14
212,The C.I. Bar,-6.9841376,52.9922667,88
671,The Village Pump,-6.9947,53.2208755,16
1095,The Craftsman,-7.1391858,52.2499266,17
297,M O' Dea,-8.7660221,52.6198971,26
1201,The Mollys,-6.0648137,53.1076971,70
370,Paddle and Peel,-6.270098,53.350934,98
609,River Bar,-6.2584276,53.3468848,57
2221,Dunloe Lodge,-9.5079029,52.0587226,33
1949,O'Carrols Bar,-6.3980126,54.0054404,9
2879,The Bodhrán Bar,-7.10887,52.695998,23
2924,The Foredeck Bar,-8.5181193,51.7009495,75
2631,The Fourth Corner,-6.2722998,53.3389208,92
2780,J.C. Collins,-9.3799689,51.7499181,39
1851,Downey's,-6.3571492,53.3423356,18
2120,Hussey's Bar,-9.5105855,52.0611764,50
718,The Outpost,-8.5209482,51.8790883,97
1666,Jerry Flannery's,-8.6271516,52.6613099,21
257,Forge Bar,-8.1656019,52.4423889,70
2793,The Yankee Clipper,-9.1058498,52.6110636,65
940,The Mucky Duck,-6.5402465,53.3382001,65
2751,Kavanaghs,-7.2980263,53.0342185,51
2875,Home Rule Club,-7.250064,52.6527861,22
213,Ann's Place,-6.9838995,52.99233,10
2155,The Knight's Inn,-9.0603296,52.4509405,29
1872,Final Furlong,-7.1355601,53.1094848,33
2127,The Shamrock,-9.9187301,53.3957717,47
168,O'Reilly,-6.2152588,53.3327685,23
2856,Cleary's (The Blondes),-9.4009374,52.8565419,73
2803,Parnell Heritage Pub,-6.2620661,53.3521844,33
1634,O'Faolàin's,-7.2477391,52.6540782,51
2136,Kennedys Bar,-6.211426,53.296478,17
2330,Olive Green,-6.2485692,53.3362743,70
2470,James’ Street 1767,-8.4795224,51.8976185,59
278,Mooney,-7.3490658,52.9144818,78
2074,Forty Four,-6.2210221,53.4575968,42
2478,The Living Room,-6.2603868,53.3523379,16
1732,The Rosses Bar,-7.770041,54.804553,80
1239,Hackett,-9.5453354,51.5268965,29
1443,The Roughty Bar,-9.5822622,51.8794356,9
1238,The Bunratty Inn,-9.5479184,51.5270153,9
928,Rosie's,-8.392683,51.8128766,84
1871,Paddy Murphy's,-6.6148928,53.1324055,41
174,Jimmyz,-6.2358367,52.6391356,52
1149,Teach Coll,-8.1772018,55.1438515,81
2355,DeBurcas Pub,-7.8090789,52.6793751,40
1212,Jade Wine Bar,-6.2178791,53.4626062,92
670,The Burrow,-6.9942037,53.220826,92
2,Le Monde Café Bar,-6.2527615,53.3501917,45
688,Bridgie Terries,-7.5620256,52.1245402,98
306,J P Moonies,-6.2548436,53.3421487,73
1810,Pheasant Pub,-6.3495776,53.7096977,49
1039,Red Fox Inn,-9.8823067,52.0734658,61
734,The Fighting Cocks,-6.8511634,52.7601908,42
1478,The Woodview,-8.6581713,51.7650502,77
2739,James Long Bar & Restaurant,-10.2748916,52.1393726,6
150,The Asgard,-9.5502861,53.7995076,6
2719,Rod Iron Bar,-7.1714608,52.3679179,38
1117,Sharkey's Bar,-8.319599,55.022117,31
1058,Tolka House,-6.2689642,53.3738004,85
1467,Foxy Johns Pub,-10.2690796,52.1419988,71
2070,The Bush Bar,-8.6819973,52.3549024,86
495,Oil Can Harry's,-6.2432199,53.3383463,18
1209,Blue Note,-9.0593968,53.2700437,80
873,Copán,-6.2656355,53.3218191,72
1957,Pat Barry's,-8.7441939,51.9892053,83
229,The Anchor Inn,-8.4401285,52.807124,17
2779,The Garden Bar,-6.1263585,53.1422464,94
1132,St. Faithleach's Club House,-8.0093117,53.6762103,43
701,Barbers,-6.279828,53.3521556,35
1250,De Burgos,-9.0515016,53.2719595,76
2777,The Celtic Marine Bar,-8.286814,54.4764538,73
2606,Kelly's bar,-8.2958079,51.8499444,47
2479,Oyster Tavern,-8.4744276,51.8979248,16
774,Swallow Banks Bar and Restaurant,-7.7974875,52.9551629,39
222,The Black Lion,-6.320788,53.3396041,44
1275,Nigels Place,-7.6140824,53.3428878,21
1230,The Randy Leprechaun,-10.0504526,52.1532343,59
853,The Kelltic Bar,-6.8749577,53.7269617,90
1174,Ballinkillen Community Centre Members' Lounge,-6.9299283,52.6500695,68
1469,Cooney's The Quilty Tavern,-9.4559612,52.8170783,33
2626,Chasers Bar & Bistro,-9.0512002,52.4489112,76
1971,Whiskey Fly Bar,-7.9699995,55.1833018,55
2062,Parnell Park House (Closed),-6.2210799,53.3736508,32
479,Lennons Bar,-7.3949623,52.8453325,97
384,Nevilles,-6.8392375,52.1908116,30
1813,Eccles Townhouse,-6.2641644,53.3574023,82
2045,The Strand Tavern,-6.9333501,52.2210765,46
1929,An Bhun Abhainn,-9.8087364,53.7633072,37
2392,The Ring Lyne,-10.3364664,51.9067156,44
2344,Horabs,-6.7083192,52.940927,38
1756,The Abbey bar,-7.3637491,53.9898431,73
1699,Market House,-7.1385476,52.5254751,53
1651,Jordan's,-9.1144386,53.9807481,37
1009,M. Stritch,-8.5529779,52.7238805,9
1685,Haydens,-6.6610054,53.2193756,14
2311,Minogues Pub,-8.7578002,52.8675152,91
565,Shoot the Crows,-8.4733779,54.2705892,93
334,Bar No. 8,-9.0516692,53.2702585,27
1684,The Oak Bar,-6.6814969,53.289628,17
1604,The Cats Bar,-7.8538707,52.1662122,75
2050,The Abbey,-6.7918521,53.5553914,90
2231,Mcnulty's Bar,-7.9061637,55.1213749,17
2600,Glas Pub,-7.8906601,54.1920196,46
209,Annie Mac's,-8.4881276,51.8906948,23
32,Street 66,-6.267547,53.3444281,7
2748,The Crawford,-8.7341095,51.745452,76
2397,Fahy's of Nogra - The Traveller's Inn,-8.9919388,53.1566678,46
2206,Pat Hanway,-6.263144,53.356763,60
1153,The Slipper (Matt Weldon's),-6.2656088,53.3853244,87
219,Hickey's Pub,-8.7178838,52.5187762,42
1665,Costello's,-8.6264724,52.6602692,31
519,The Pines,-6.3188972,53.3073383,11
1780,An Nead,-9.3070288,53.2442043,84
277,Spink Bar,-7.223093,52.9021344,38
633,Keeling's,-6.1484896,53.4876672,82
899,Hamrocks Bar,-8.2548727,53.5673104,37
797,Darcy McGees,-6.1574577,52.7987057,70
157,Bull & Castle,-6.2698992,53.343428,23
139,Murray's,-7.3463311,53.5246556,64
760,Nancy Moyles,-9.6922093,52.2604295,40
2811,Howth Yacht Club,-6.0678483,53.3887912,32
2506,The Sportsman's Rest,-8.530263,51.8117238,14
826,Keating's Corner Bar,-10.2273784,51.9456948,60
2563,The John Barry,-6.4571953,52.336275,30
2036,Dick Mack’s Pub,-10.2707603,52.141265,83
476,Causkeys,-9.9580172,51.6941356,45
1382,O'Mara,-9.6481949,52.6787966,12
1221,The Old Bridge Inn,-6.6648305,53.6325506,69
2371,Squire McGuire,-8.6310478,52.6628013,84
1366,Mac's Bar,-6.1704132,53.1931122,84
2604,The Constellation,-8.4741198,51.9056764,35
2735,O'Shaughnessy's Bar,-7.6443739,55.0372749,16
123,Sportsmans Inn,-6.8092732,52.9854951,43
536,W H Irwin,-7.9246191,52.3747385,97
137,Johny Cosgrove's,-7.3440053,53.5251114,41
2209,The Fox and Hounds,-8.4466099,51.9169386,49
1154,Nubar,-6.2589215,53.3850696,26
2891,Belle Vue Bar,-8.4611005,51.9069495,54
1928,Ui Dufaigh,-9.8088983,53.7631833,52
1512,Bally-Hi Bar,-8.0993696,52.2702712,94
148,Toby's,-9.5182651,53.7990132,99
1767,John Cryan,-8.3029033,53.9717322,62
2703,Miley's Blessington,-6.5338271,53.1701543,33
2039,Walker's,-10.2673513,52.1409309,35
2758,Manhattan Mixer,-7.3018833,53.0339054,54
2210,House Dublin,-6.2551574,53.3340014,75
2653,Dundrum House,-6.2433549,53.2893801,42
1150,The Huntsman,-8.6086388,51.925205,43
962,Voodoo Bar,-7.7382289,54.9488571,53
648,The Judge and Jury,-6.7914549,53.5554649,29
2845,Johnny Rush's,-6.2619857,53.3428675,42
667,Dillons,-6.9934006,53.2210405,69
1606,The Birch Grove,-8.1672679,53.3283312,47
1411,The Village,-6.3932185,53.3211955,65
821,Charlie Ryans,-6.7980191,53.1806207,17
1728,Powers,-8.9644574,52.8143826,33
1094,Hamlet Pub,-6.2067373,53.6135166,34
780,Ryan's Lounge,-6.2655867,53.3363696,51
385,The Leix Bar,-7.3484006,52.9143383,74
55,Bóruma,-8.4380323,52.8088905,37
1459,Cookes Thatch Bar,-9.062686,53.272444,14
2106,Henderson's Lounge,-7.251782,52.6509391,67
1480,JJ Sherry Bar,-8.880798,53.2286961,14
2051,Brogan's Guest House & Bar,-6.789307,53.5575023,99
1301,Castle Inn,-6.0645271,53.0713772,80
2483,New Inn Pub,-9.1451512,51.5806282,53
365,Brian Ború On The Hill,-8.4374049,52.8131063,67
1731,Peadar Kearney's Pub,-6.265415,53.3442729,40
424,HQ,-6.2381779,53.3443491,50
1028,Dower's Pub & Shop,-7.0561794,52.1441681,93
2273,P. Moran's,-9.2969198,53.8582827,92
1961,McGinnity's,-7.3629342,53.9894484,30
2338,Susie's Bar,-7.0394242,55.1892944,58
775,Mooney's,-8.4891298,54.2683116,41
236,Hayes,-7.4466991,52.8825522,38
851,Maguire,-6.880904,53.7274349,48
535,The Galtee Inn,-7.9246719,52.374988,76
1133,Massimo,-9.0599117,53.2699717,21
2291,O'Murchu's Bar,-9.1134291,51.7208954,94
267,Molloy's Foxes Covert,-6.3594067,53.2879405,87
1517,The Hunters Rest,-8.2700416,52.2636301,65
744,Cobbler's Rest,-8.5975055,52.8843245,53
1578,An Scolaire Bocht,-7.8032859,54.0522651,28
2908,Dunne's Bar,-7.7155379,52.2024826,84
641,Ahern's Bar,-8.460997,52.6983092,65
1226,Corley's Abbey Lounge,-9.2822549,53.7573291,15
943,Lacken,-6.6369063,53.7429244,12
2536,The Shamrock Inn,-7.8887614,52.0512083,61
1988,The Mutton Lane Inn,-8.47389,51.8980228,53
215,McEvoy's Bar and Lounge,-6.9788967,52.9929561,100
1289,T Morris,-6.4627019,52.3418957,24
2314,Culloville House,-6.6437536,54.0617886,60
1341,Beggy's,-6.6823258,53.6512604,82
1887,Maggies Bar,-7.5292148,54.0155906,80
1147,The Gallows,-8.4812849,51.8926539,83
2629,The Cork Arms,-8.4691766,51.9014721,97
1334,Hemidemisemiquaver Bar,-6.2285572,53.3487544,12
412,Heffernan's,-8.4692769,52.3588774,100
1673,Paddy Mac's Pub,-9.704755,52.269447,65
2578,Bob's,-6.4501087,53.3562756,38
67,The Lower Deck,-6.2652379,53.330686,84
538,Vacant Lot,-6.3829428,53.4202021,24
2747,Nyhan's,-8.7330514,51.7450382,25
1668,Dunnes bar,-8.095427,53.94562,6
2346,Ruin Bar,-6.2553324,53.3459878,34
1357,Sheridans Bar,-9.1058129,53.2677427,44
2254,marina,-10.2768406,52.1394016,60
2077,O'Connors Village Inn,-6.2673311,53.5221582,88
601,Deanrock,-8.4953811,51.8753472,23
660,ely bar & brasserie,-6.2480239,53.3492828,32
358,The Emigrant,-6.9836618,52.9919699,14
2650,The Betsy,-6.2207557,53.4582892,76
393,Henchey's Bar,-8.5321185,52.9103771,37
20,Mac Mathúnas,-8.197395,52.8613427,38
108,Sarsfields,-6.346498,53.7159815,92
2785,The Classroom,-7.9310482,52.137897,81
1279,Jurys Inn Bar,-9.0548321,53.2705499,67
2860,Beach House,-6.0662383,53.1499114,18
415,Ball Alley House,-6.4546703,53.3554596,99
166,The Merry Cobbler,-6.2226996,53.3384435,76
1023,The Grey Hound,-8.5239738,51.7064587,16
1161,Brennans Lane,-9.1566913,54.1145069,55
163,John Clarke and Sons,-6.2276614,53.3417218,87
1870,The Sky and the Ground,-6.4590126,52.3355721,44
954,The Shelbourne Bar,-8.4686995,51.9014349,96
1477,Barretts,-8.6579376,51.7648264,42
195,The Abbey Tavern,-8.4827247,51.8939025,76
88,Duddys,-9.0061608,53.5912894,54
2745,Zozimus Bar,-6.2597707,53.3405771,86
172,Crowe's Pub,-6.2305605,53.3291081,72
2132,Foley's Bar,-7.8857203,52.516522,65
284,Crosskeys,-7.0158124,53.104822,90
1204,Geraghty's,-9.5248266,53.7995136,89
12,The Foxhunter,-6.4188935,53.3586043,88
2796,The Back of the Shop,-6.3898686,52.2774167,63
1857,The Hook and Tackle Pub,-8.2697446,53.4703031,77
2885,Ford's Bar,-8.4758152,51.8953985,21
1202,Tig Rosie,-10.2627186,51.8340308,44
491,The Secret Bar / The Bar With No Name,-6.2641559,53.3418854,81
1241,Kavanagh's,-6.2728689,53.3363297,98
2069,The Steps,-6.7932834,53.5523547,79
2878,Carrolls,-7.0290244,52.6812256,83
1420,Bradleys,-8.8082717,53.1405455,37
2609,BarBarossa,-8.4743013,51.8972896,90
2321,O'Doherty's,-9.4183301,52.7026185,8
1852,Cylist's Rest,-7.448266,55.0756286,79
1861,McManus,-6.396264,54.0058613,33
1630,Cellar Bar,-6.2526088,53.3387556,84
1434,Rineys,-9.899149,51.8380797,76
446,The Silver Key,-8.4332477,51.8875662,77
405,J.J. Smyth,-6.2654253,53.3405863,15
1291,Half Way Bar,-7.9537261,52.0081595,90
864,O'Sé,-8.5542829,51.8546277,68
2709,Wexford Lower John Street pub,-6.4658926,52.3389589,6
194,Ferry Boat Inn,-8.3196617,51.8301179,8
2208,local,-7.4637209,53.2667537,75
2576,Mocking Monck,-6.4628088,52.3417929,42
2523,Kilmessan House,-6.6688854,53.5633681,20
573,The Clodagh Bar,-7.3154394,52.2890544,97
1109,Cobblestone Joe's,-8.6242374,52.6645544,21
2741,The Doheny Bar,-9.1136117,51.7193321,93
1355,The Angler's Rest,-7.5219969,53.8322431,44
785,Bourkes,-9.1153641,53.9805233,80
673,Fox's,-6.5613027,53.5855107,57
378,T. Kinsella's,-6.3213412,53.3394911,78
2592,Thomond Bar,-8.4726314,51.8977832,56
869,Flanagan's Mill,-6.6647956,53.2495066,58
441,JP Clarke's,-8.8158383,52.6991363,21
2337,The Matchmaker Bar,-9.289673,53.0285219,28
300,The Eagles Rest,-7.3491525,52.9142564,32
2272,The Cobweb Bar,-9.2984689,53.8582403,76
941,The Mansion House,-7.1100186,52.2546145,24
2634,Charlie Brown's,-7.9057565,53.4170695,55
1021,The Liberty Belle,-6.2748857,53.3415634,94
606,The Gandon Inn,-7.1795627,53.092101,91
1503,Hays,-7.5286599,54.0145113,9
1592,Glenduff house,-9.6061466,52.2926158,70
196,Admiral Drake,-8.2976733,51.8041408,91
1096,Inniscarra Bar,-8.623489,51.8926298,80
489,An Seanachi,-7.6574129,52.0450217,35
1594,Delaney,-8.7626837,53.7615076,73
1004,Sober Lane,-8.4729273,51.8955297,93
15,The George,-6.2646675,53.3437938,48
2657,An Cruiscin Lan Pub,-7.8509183,52.088607,49
2141,Tim O'Loughlins,-6.1400456,53.2939287,62
1073,The Lions Den,-8.6278587,51.939016,51
2163,Bolger's,-7.122643,52.2614577,86
464,John D's,-6.1831945,53.6083218,82
2422,Open Gate Brewery,-6.2869606,53.3432314,11
1476,Johnny Crowley's,-8.657305,51.7649578,54
2584,53 South William,-6.2627338,53.3417027,82
2172,O'Riordans,-8.7885735,51.9093888,98
871,Bardons,-6.744417,53.1313768,51
1190,The Roundabout,-6.2068448,53.383917,21
997,Fitzgerald's Pub,-6.2128371,52.8570824,74
938,Mary Anne's,-8.963068,51.9085458,22
933,The Black Kettle,-7.4986711,53.3683805,65
255,Cotton Mill,-7.3179126,52.2858623,94
848,Clonliffe Harriers Club Bar,-6.2435438,53.4014689,28
1564,The Green Room,-6.2299289,53.3498005,29
2038,Nellie Fred's,-10.2661175,52.1413653,26
2872,Maloneys,-8.6699429,52.2313808,73
2437,O'Driscolls Bar,-8.4364354,51.8773065,48
1325,Orchard Bar,-7.1495484,55.2419846,18
2157,Hibernia Pub,-6.1006577,53.2056361,54
1183,Kyles,-6.2008612,53.3888556,68
1637,The Hub,-7.111711,52.2584986,78
107,McHugh's,-6.3466093,53.7162146,51
2343,Scanlon's,-7.098906,53.4542519,73
2259,Jack C's Bar,-9.5103585,52.0606808,97
2328,Malt Lane,-8.5242727,51.7056265,54
2942,Times Hotel Bar,-8.1576547,52.4740455,69
2776,I Love Vegetables,-6.7073006,52.9464784,24
2566,Kelly's on the Corner,-6.4582911,52.3353965,37
1061,Denny Matty's,-9.2380241,52.179904,52
1385,Chocolate Bar,-6.4619961,52.3397056,90
2842,The Fifty Six,-6.1565468,52.7983895,41
47,Fitzpatrick's Bar,-9.3771144,53.0160511,23
1262,Hanleys Bar,-8.998559,53.7209015,29
1748,Buskers Bar,-6.26051,53.345832,91
1100,Fitzsimon's,-6.2651253,53.3454637,93
234,New Bar,-8.4899324,51.8937581,56
2424,Athenry Golf Club,-8.8456003,53.282914,15
825,Sceilig Rock Bar,-10.2304436,51.944805,68
2465,Lily's Bar,-7.2608715,55.2949457,82
1662,M J Hoban Bar,-9.5246594,53.7989196,72
1051,Copper Jack's,-7.8340719,52.7962292,48
1752,Malpaso,-9.0616076,52.060329,10
511,The Cotton Ball,-8.4331591,51.9134583,55
2583,Farrell’s Bar & Restaurant,-8.4069042,53.8690807,81
521,The Lotts,-6.2633612,53.3473641,38
548,The Chancery Inn,-6.2718646,53.3456777,66
1544,Tí Dáirbí,-9.6180828,53.3140293,99
2567,Liam Daly's,-7.7053007,52.3525209,58
2894,The Dunbrody Inn,-6.9456626,52.3950671,44
2934,Marrinan,-9.293587,52.9416268,24
709,Club Soisialta,-8.2337762,55.2640821,22
426,The West,-9.5218251,53.8003815,44
379,Coffey's,-6.3144898,53.3405122,43
204,The Hawthorn Bar,-8.4888008,51.8861165,16
2841,Midway,-6.1544674,52.7983258,16
376,Droopys,-6.8397956,52.1910835,22
1824,Reidy's Vault,-8.483117,51.897028,79
2105,Singing Pub,-7.818994,55.2090185,33
1320,The punt,-6.3553849,53.7165896,14
90,J. Moloney,-8.6493901,52.9261166,100
2237,The Crookhaven Inn,-9.7250656,51.4688187,76
1089,The Portobello Bar,-6.2641273,53.3303503,63
707,The Spout,-6.7453751,53.1304099,40
1112,TC's Bar,-8.6215809,52.6610725,65
147,The Jester,-9.5224643,53.7995545,50
9,The Barge Bar,-6.2605878,53.3305512,10
1556,Newtown House,-6.1888701,53.3963925,88
23,Jordans,-7.1064993,52.2608385,69
1257,T.F Varley,-9.1076649,53.4694998,62
1588,O'Mahonys,-8.8672591,51.7807573,38
2426,The Golden Inn,-7.9812267,52.4983044,85
2489,Fitzpatricks,-6.0442511,52.9806287,99
1505,Gilsenan's,-7.5284884,54.0142057,81
95,Noel Nugent,-6.3515331,53.7173001,98
2003,Annie Lynn's Bar,-8.107785,54.6539805,37
2882,Coote's,-6.9586373,52.7021356,39
764,Towers Old Bar,-9.9401079,52.0561312,59
2418,Tara Arms,-6.7347707,52.8033241,41
258,Tí Joe Watty's,-9.6708861,53.1239739,68
925,Morrissey's Lounge Bar,-8.5739498,53.1991556,30
1390,Ma Murphys,-9.4509226,51.6794604,15
2858,Michael A's,-9.4007843,52.8558191,79
534,The Punter's Rest,-7.9246851,52.3752496,48
1315,McGowan's of Harold's Cross,-6.2800896,53.3233599,95
1955,Scholars Bar (closed),-6.2748236,53.3347705,66
2778,Halpin's Bar,-8.7188741,52.5222897,14
2838,Pattens Bar,-9.9416946,53.9029705,54
1290,An Cappagh Nua,-6.3112416,53.3950932,49
360,Madigans,-6.2605934,53.3514331,79
754,The knockdown arms,-9.2299509,52.5170565,59
2316,Robert Reade Bar and Cafe,-6.2513919,53.3513605,65
903,The Red Horse Inn,-8.4833287,51.89379,68
1421,Tarpey's,-8.8053537,53.1569271,93
1582,Johnny McHale's,-9.2980885,53.8602359,23
1889,Grace's,-6.2664357,53.3218142,50
691,Shantully Inn,-7.4343855,53.9533288,88
1470,Blakes Corner Bar,-9.0529875,53.2747123,65
528,Hourican's (Closed),-6.2568022,53.3357173,69
458,Fowlers,-6.1539054,53.4513054,53
1364,Tigh Hughes,-9.3056985,53.2445303,46
1795,Sheridan's,-7.4247109,53.8282138,91
2318,Coolera House,-8.5304777,54.2351713,7
1942,The Bailey Café Bar,-6.5682512,52.5027561,48
1730,Hoey's,-6.15255,52.798151,35
1671,An Teach Beag,-9.705449,52.269574,82
2771,O'Scannall,-9.1450459,51.9363303,65
2492,Tynans Bridge House Bar,-7.2508529,52.6519485,11
614,Hi-Way,-8.6537357,52.6369575,6
202,The Bishopstown Bar,-8.5171742,51.8796485,26
2607,Jack Doyle's,-8.2948674,51.8528723,38
2729,The Riverstown Inn,-8.3955337,51.9284729,36
2239,peters bar,-7.5028172,54.9985836,31
1208,Tigh Neachtain,-9.0539272,53.2714766,77
758,The Barn House,-6.2927681,53.3322249,40
1568,KCR House,-6.2964378,53.3141966,55
68,South Pole Inn,-10.0565553,52.1513528,9
1877,The Thatch,-7.1476545,53.1327082,80
1781,An Droighneán,-9.3064897,53.2442332,95
2368,Frank O'Reilly's Bar & Lounge,-9.1511768,53.8950591,9
1079,The Harp & Shamrock,-9.1563004,52.1759669,31
1793,Glann Bar,-7.433937,53.8376075,49
2419,Foran's Pub,-6.7348927,52.8034554,93
190,The Coopers,-8.4375339,52.7672583,17
2137,Tom King's Bar & Snug,-10.0223463,53.488264,42
2500,McCaffrey's Bar & Lounge,-7.3201462,54.0997018,24
1176,The Kilree Arms,-6.9570233,52.7005593,44
2807,Cahalane's,-9.2696767,51.549629,12
956,Celbridge GAA Clubhouse Bar,-6.5288757,53.3316434,39
2290,An Cosán,-6.4010508,53.2788418,48
2025,I-Kandi Venue Wine Bar & Night Club,-8.590748,52.6485209,11
2855,Hillery's,-9.4010988,52.855716,8
2304,Westport Design,-9.5220566,53.799556,53
382,McCloskeys,-6.2404203,53.3244179,54
866,Avenue Bar,-8.4893339,51.9000539,85
1430,The Sandy Cove,-9.6499192,52.6774854,99
2007,Lily's,-8.2704277,52.2666346,75
399,Collins' Bar,-8.6431095,52.6295274,35
1996,Pat Flannery's,-8.623068,52.6621919,32
752,Crotty's Traditional Irish Pub,-9.4845952,52.6382595,86
1059,Citi Bar,-6.263706,53.3443064,24
2912,Fairfield Tavern,-8.4855295,51.9149001,47
1006,W Brady,-6.4750779,53.4190917,92
1973,Michael McCourt,-6.4016905,54.0034472,90
